azi,incl,md,tvd,dispns,dispew,Well,neg_tvd
0.0,0.0,0.0,0.0,0.0,0.0,F-4,-0.0
0.0,0.0,0.899999976158142,0.899999976158142,0.0,0.0,F-4,-0.899999976158142
4.07098048049578,0.00174532927809565,184.119995117188,184.119902097195,-0.0956658632801162,-0.128112127864178,F-4,-184.119902097195
3.97202034386031,0.00279252674092332,224.449996948242,224.449798435682,-0.154708942398546,-0.197881974514614,F-4,-224.449798435682
3.81668588063479,0.0146607652598103,264.790008544922,264.788040577866,-0.423542432270751,-0.424266903996858,F-4,-264.788040577866
3.67199820281577,0.0279252684495305,305.100006103516,305.08863363528,-1.13965568077797,-0.893629625780904,F-4,-305.08863363528
3.97795439940154,0.0481710871911874,345.450012207031,345.409167660095,-2.27667832660518,-1.89968718278803,F-4,-345.409167660095
4.22840925360265,0.0902335236645416,385.799987792969,385.660505929091,-3.7739052931315,-4.23031676830105,F-4,-385.660505929091
4.19577141549364,0.122871178681221,426.119995117188,425.750104986556,-5.83984266432239,-7.9870496069409,F-4,-425.750104986556
3.91355170738891,0.140673545042004,466.399993896484,465.684897949416,-9.08294669662406,-12.1036243641151,F-4,-465.684897949416
3.59276037195005,0.15446164546771,506.649993896484,505.504436404244,-13.8921859181592,-15.4225467397729,F-4,-505.504436404244
3.33951292702974,0.155334296777949,546.960021972656,545.336883233155,-19.7407823320751,-17.3879331337846,F-4,-545.336883233155
3.17196147861893,0.1555088336979,587.280029296875,585.173115792948,-25.9201986071358,-18.0960663772317,F-4,-585.173115792948
3.15223917284918,0.15707963268794,627.539978027344,624.942359105964,-32.185397569277,-18.2242609680955,F-4,-624.942359105964
3.00772593208157,0.164933610993386,667.630004882813,664.515542245201,-38.5829516802753,-17.8183669988018,F-4,-664.515542245201
2.93913435399012,0.168947876928462,707.960021972656,704.285283993388,-45.185637948699,-16.6946805645471,F-4,-704.285283993388
2.85361332716424,0.200189269875051,748.280029296875,743.919672514903,-52.350766298523,-14.8742860586928,F-4,-743.919672514903
2.76809230033836,0.242949833222261,788.570007324219,783.222862104068,-60.7053446724808,-11.9677417494499,F-4,-783.222862104068
2.70159503212827,0.273667632053755,828.909973144531,822.22388547171,-70.1560243548402,-7.87497491015121,F-4,-822.22388547171
2.66354698226448,0.292168112804827,869.25,860.960005002656,-80.2467034004203,-2.88024652495772,F-4,-860.960005002656
2.68222186677745,0.280299868564305,909.599975585938,899.668162992647,-90.4090772820271,2.26779299926803,F-4,-899.668162992647
2.70892564934522,0.260926719858238,949.940002441406,938.539657479738,-100.134764416032,6.9237456686947,F-4,-938.539657479738
2.70752935398561,0.239110104207135,990.289978027344,977.634291289389,-109.19527757166,11.1157196626807,F-4,-977.634291289389
2.64906071751422,0.224972946586284,1030.67004394531,1016.93239293166,-117.50251123672,15.2566262527264,F-4,-1016.93239293166
2.65464589895263,0.212057497470816,1071.0,1056.30304976707,-125.217176730942,19.3697593670973,F-4,-1056.30304976707
2.56964818328098,0.220609623456064,1111.36999511719,1095.73303379718,-132.686005947506,23.7486129307432,F-4,-1095.73303379718
2.51309968595563,0.276460156193935,1151.72998046875,1134.84845117093,-140.856987510731,29.3787366994694,F-4,-1134.84845117093
2.61310697753178,0.317300863355961,1192.06994628906,1173.42374961929,-150.747034271432,35.7900201753367,F-4,-1173.42374961929
2.52653852944911,0.322711374716371,1232.42004394531,1211.72773272893,-161.409387114543,42.6562395732124,F-4,-1211.72773272893
2.52322262757568,0.281870667554345,1272.72998046875,1250.20722207803,-171.199347001951,49.5953024547605,F-4,-1250.20722207803
2.54189751208864,0.269129772003584,1313.07995605469,1289.03539041804,-180.200402938082,55.8761735201642,F-4,-1289.03539041804
2.54486453985926,0.271224165108719,1353.43005371094,1327.92172987183,-189.099756274722,61.9411396958301,F-4,-1327.92172987183
2.35410018043775,0.273667632053755,1393.73999023438,1366.75335263268,-197.411784915117,68.8367664235397,F-4,-1366.75335263268
2.1594959421983,0.284663191694525,1434.06005859375,1405.52152429112,-204.401935383258,77.4082280924085,F-4,-1405.52152429112
1.92649438051808,0.31695178951606,1474.42004394531,1444.08278544108,-209.741703154688,88.022396742278,F-4,-1444.08278544108
1.92108390244718,0.38013272308904,1514.76000976563,1481.99087738126,-214.500748013761,100.949081657654,F-4,-1481.99087738126
1.95284888950887,0.407359850100552,1555.10998535156,1519.2525130419,-220.05006602123,115.398144114335,F-4,-1519.2525130419
1.9811232713296,0.429351002671605,1595.4599609375,1556.12230021821,-226.380632488479,130.516998219452,F-4,-1556.12230021821
2.02493093968321,0.45588001529283,1635.81005859375,1592.58404093887,-233.627952999686,146.201544362366,F-4,-1592.58404093887
1.93818818770719,0.449422282412717,1676.14001464844,1628.85668366395,-240.669974197365,162.357350543315,F-4,-1628.85668366395
1.84882728206338,0.446106147512686,1716.5,1665.24239386469,-246.209346813836,178.913899270102,F-4,-1665.24239386469
1.85231788730433,0.446629758272537,1756.81994628906,1701.61183759274,-251.0158064148,195.642893053703,F-4,-1701.61183759274
1.87884696650458,0.445931610592735,1797.21997070313,1738.05542627554,-256.081373278622,212.326686114603,F-4,-1738.05542627554
1.86174268124457,0.444535348522645,1837.56005859375,1774.46292621968,-261.207226545777,228.925922375119,F-4,-1774.46292621968
1.86121910377424,0.447153369032389,1877.90002441406,1810.85952439343,-266.192874572858,245.591541509414,F-4,-1810.85952439343
1.89263508357505,0.446280684432636,1918.25,1847.25052345875,-271.445419650566,262.210849385433,F-4,-1847.25052345875
1.88478102204582,0.445058959282497,1958.60998535156,1883.66826404306,-276.883692415134,278.736587466351,F-4,-1883.66826404306
1.88094127638593,0.455705478372879,1998.96997070313,1920.00342017303,-282.277444471003,295.457129319039,F-4,-1920.00342017303
1.87535622810557,0.453087457863136,2039.31994628906,1956.25893393435,-287.635592790107,312.337495222405,F-4,-1956.25893393435
1.90607406022658,0.464955702103658,2079.669921875,1992.43248573115,-293.260528306328,329.305422127997,F-4,-1992.43248573115
1.90991380588646,0.462163177963478,2120.01000976563,2028.51534485096,-299.228005817175,346.327106053903,F-4,-2028.51534485096
1.91986217729704,0.460941452813338,2160.35009765625,2064.63439437898,-305.288179598425,363.238888389238,F-4,-2064.63439437898
1.91811687467657,0.466002923623361,2200.69995117188,2100.72752873335,-311.442890714205,380.19507616503,F-4,-2100.72752873335
1.90781936284706,0.461988641043528,2241.06005859375,2136.82045931061,-317.50363187128,397.209804486243,F-4,-2136.82045931061
1.85947380115376,0.46146506357319,2281.43994140625,2172.9733405845,-323.038961094772,414.321238836246,F-4,-2172.9733405845
1.8613936739837,0.460941452813338,2321.84008789063,2209.15238720898,-328.173870844148,431.551473500612,F-4,-2209.15238720898
1.85563405549388,0.463908513873469,2362.18994140625,2245.26443527238,-333.281706007559,448.81237130968,F-4,-2245.26443527238
1.85144530257312,0.465479312863509,2402.55004882813,2281.3447145479,-338.327848812427,466.181520627396,F-4,-2281.3447145479
1.84202050863288,0.462512251803379,2442.89990234375,2317.42847596673,-343.247794255186,483.55573627526,F-4,-2317.42847596673
1.855285048233,0.472111549374059,2483.25,2353.4523046424,-348.234706990003,501.035081330936,F-4,-2353.4523046424
1.85301603498413,0.47944193356441,2523.6201171875,2389.33872725443,-353.404132497481,518.788408604797,F-4,-2389.33872725443
1.84079878348274,0.47822020841427,2563.9599609375,2425.14180663137,-358.471093698511,536.670352176065,F-4,-2425.14180663137
1.86785130699527,0.46844637392364,2604.31005859375,2461.05587394245,-363.613971356563,554.328986552071,F-4,-2461.05587394245
1.98670831960996,0.481361806394351,2644.65991210938,2496.94905089661,-370.055775157633,571.587920522126,F-4,-2496.94905089661
2.13157056763845,0.486248740284423,2685.02001953125,2532.69055181271,-378.849434416168,588.126853656934,F-4,-2532.69055181271
2.17660009430026,0.492008325484734,2696.42993164063,2542.76292971314,-381.802039907545,592.600130223207,F-4,-2542.76292971314
2.33350515677873,0.517141042746354,2740.7900390625,2581.61245668251,-395.351576639618,609.150011591271,F-4,-2581.61245668251
2.44363538997492,0.544891780517718,2773.89990234375,2610.16932997226,-407.584469708215,620.585495503152,F-4,-2610.16932997226
2.5453881173296,0.554142037538011,2800.65991210938,2632.99493607733,-418.726641927185,628.997886482128,F-4,-2632.99493607733
2.62672052439277,0.551873124157682,2840.30004882813,2666.73177829292,-436.403695428559,639.972774224287,F-4,-2666.73177829292
2.70927452344804,0.560425233498173,2879.85009765625,2700.32662323723,-454.974612795312,649.483652013571,F-4,-2700.32662323723
2.80107901255019,0.57176983368933,2920.07006835938,2734.27897073666,-474.94192754325,657.598239685038,F-4,-2734.27897073666
2.83633447169477,0.601091370450734,2959.080078125,2766.77110320479,-495.413556898882,664.439096152533,F-4,-2766.77110320479
2.88537844738398,0.616275782880801,3001.10009765625,2801.24631544128,-518.495628409839,671.088168119413,F-4,-2801.24631544128
2.99341410438271,0.638790479632678,3041.4599609375,2833.9270121571,-541.687552237491,675.82218155561,F-4,-2833.9270121571
3.12047405262945,0.661130739333146,3081.2900390625,2865.6509971482,-565.669377856181,677.834492311265,F-4,-2865.6509971482
3.20250474053048,0.713316046686329,3121.75,2896.93047162969,-591.312447322949,677.290731303776,F-4,-2896.93047162969
3.2477087042437,0.7646287693083,3162.81005859375,2927.27948114331,-618.861786874306,674.966947098853,F-4,-2927.27948114331
3.27231791061401,0.818210372021086,3203.53002929688,2955.89625791343,-647.619143284505,671.535971461841,F-4,-2955.89625791343
3.31944174715717,0.879994976944949,3244.080078125,2982.68446332382,-677.684986478453,666.840298099596,F-4,-2982.68446332382
3.3702308923088,0.917345078866019,3284.75,3008.00950048913,-708.843958035416,660.406507110815,F-4,-3008.00950048913
3.40583549187231,0.957313068138779,3325.09008789063,3031.8885759961,-740.367928115308,652.467771668873,F-4,-3031.8885759961
3.42311434734179,0.963945337938842,3365.11010742188,3054.82056585033,-771.95193331929,643.627874301893,F-4,-3054.82056585033
3.43934578155447,0.962549109158266,3404.82006835938,3077.48960348043,-803.197216308251,634.316353088177,F-4,-3077.48960348043
3.48943664586825,0.957836712188144,3444.78002929688,3100.40431921957,-834.240580285019,623.933829722329,F-4,-3100.40431921957
3.53813148113853,0.954171470158698,3484.97998046875,3123.5942460909,-864.826572688869,611.994585194131,F-4,-3123.5942460909
3.53813148113853,0.954171470158698,3510.0,3138.06294557917,-883.654858304044,604.110818755705,F-4,-3138.06294557917
